,EDINETコード,開始日,終了日,報告日,証券コード,企業名,業種,営業利益,流動資産,流動負債,投資その他の資産,固定負債,事業価値,財産価値,株主価値,発行株数,1株価値,株価,株価日時,安全率
0,E00179,,,2021-11-12,1867,株式会社植木組,建設業,817367000.0,26452074000.0,16173227000.0,2455086000.0,3702127000.0,8173670000.0,9499287600.0,13970830600.0,6873528.0,2032.556003263535,1495.0,2022-02-22 15:15:00,1.3595692329521973
1,E32825,,,2022-01-31,3969,株式会社エイトレッド,情報・通信業,676021000.0,3855465000.0,813110000.0,105821000.0,147744000.0,6760210000.0,2985554000.0,9598020000.0,7477800.0,1283.5352643825724,1858.0,2022-02-22 15:15:01,0.6908155351897591
2,E00904,,,2022-02-10,4635,東京インキ株式会社,化学,708000000.0,28735000000.0,18126000000.0,5014000000.0,4539000000.0,7080000000.0,11997800000.0,14538800000.0,2725758.0,5333.855756820672,2309.0,2022-02-22 15:15:01,2.310028478484483
3,E35489,,,2021-11-15,7084,株式会社Ｋｉｄｓ　Ｓｍｉｌｅ　Ｈｏｌｄｉｎｇｓ,サービス業,-145818000.0,2744985000.0,2882909000.0,1452764000.0,4023190000.0,-1458180000.0,738258200.0,-4743111800.0,3172000.0,-1495.306368221942,1017.0,2022-02-22 15:15:00,-1.4703110798642498
4,E00529,,,2021-11-12,3107,ダイワボウホールディングス株式会社,卸売業,9806000000.0,269809000000.0,167738000000.0,10219000000.0,25414000000.0,98060000000.0,78742400000.0,151388400000.0,96356460.0,1571.1287027356548,1735.0,2022-02-22 13:43:08,0.9055496845738644
5,E00067,,,2021-11-11,1884,日本道路株式会社,建設業,2951000000.0,109213000000.0,53025000000.0,7543000000.0,5666000000.0,29510000000.0,53126000000.0,76970000000.0,9761618.0,7884.963332922882,9800.0,2022-02-22 15:15:01,0.8045880951962124
6,E00010,,,2021-11-12,1382,株式会社ホーブ,水産・農林業,9768000.0,747546000.0,152983000.0,57484000.0,144897000.0,97680000.0,621450400.0,574233400.0,762000.0,753.5871391076115,902.0,2022-02-22 09:23:59,0.835462460207995
7,E02647,,,2022-02-14,8119,株式会社三栄コーポレーション,卸売業,-680328000.0,15278523000.0,6273780000.0,2683924000.0,3989620000.0,-6803280000.0,10433911000.0,-358989000.0,2552946.0,-140.617545376988,1621.0,2022-02-22 15:15:00,-0.0867474061548353
8,E02627,,,2021-11-15,8105,堀田丸正株式会社,卸売業,-97386000.0,3703376000.0,681114000.0,108043000.0,33287000.0,-973860000.0,2994082200.0,1986935200.0,59640348.0,33.31528514890624,49.0,2022-02-22 09:00:00,0.679903778549107
9,E00032,,,2021-11-12,5715,古河機械金属株式会社,非鉄金属,3483000000.0,86785000000.0,52132000000.0,39709000000.0,71346000000.0,34830000000.0,63935600000.0,27419600000.0,40445568.0,677.9383095819053,1278.0,2022-02-22 15:15:01,0.5304681608622107
10,E01287,,,2022-02-14,5658,日亜鋼業株式会社,鉄鋼,1609764000.0,35057709000.0,11915766000.0,15329243000.0,5963224000.0,16097640000.0,36088032800.0,46222448800.0,51755478.0,893.0928780138017,275.0,2022-02-22 12:30:00,3.2476104655047338
11,E04514,,,2021-11-15,9531,東京瓦斯株式会社,電気・ガス業,45342000000.0,730189000000.0,506670000000.0,439455000000.0,1265479000000.0,453420000000.0,561640000000.0,-250419000000.0,440996559.0,-567.8479681742823,2324.0,2022-02-22 15:15:02,-0.2443407780440113
12,E01541,,,2021-11-12,6339,新東工業株式会社,機械,1029000000.0,93772000000.0,29196000000.0,39902000000.0,26471000000.0,10290000000.0,98638800000.0,82457800000.0,54580928.0,1510.7438261218279,689.0,2022-02-22 09:00:00,2.192661576374206
13,E03306,,,2022-02-14,7585,株式会社かんなん丸,小売業,-314495000.0,1206354000.0,261927000.0,301497000.0,470391000.0,-3144950000.0,1193538600.0,-2421802400.0,4351308.0,-556.5688294186484,401.0,2022-02-22 15:15:01,-1.3879521930639611
14,E05083,,,2021-11-26,4760,株式会社アルファ,サービス業,-88197000.0,2674627000.0,1772432000.0,369284000.0,665436000.0,-881970000.0,916992600.0,-630413400.0,915444.0,-688.6422326215476,1092.0,2022-02-22 15:10:05,-0.6306247551479374
15,E00475,,,2022-02-10,2812,焼津水産化学工業株式会社,食料品,565635000.0,15314328000.0,2787800000.0,2179795000.0,305308000.0,5656350000.0,14148763000.0,19499805000.0,13056198.0,1493.5285907888344,917.0,2022-02-21 09:00:00,1.628711658439296
16,E02982,,,2022-02-14,3359,株式会社ｃｏｔｔａ,卸売業,223129000.0,4176871000.0,2108887000.0,153919000.0,719745000.0,2231290000.0,1800125600.0,3311670600.0,11117313.0,297.88408404081093,508.0,2022-02-22 15:15:01,0.5863859922063207
17,E00892,,,2021-11-12,46120,日本ペイントホールディングス株式会社,化学,0.0,605442000000.0,379621000000.0,0.0,0.0,0.0,149896800000.0,149896800000.0,2370512215.0,63.233928537254975,0.0,,0.0
18,E01693,,,2021-11-11,6485,前澤給装工業株式会社,機械,1138000000.0,31344000000.0,7088000000.0,5873000000.0,1004000000.0,11380000000.0,28711400000.0,39087400000.0,23000000.0,1699.4521739130435,962.0,2022-02-22 15:15:01,1.76658230136491
19,E05236,,,2022-02-14,4323,日本システム技術株式会社,情報・通信業,1297211000.0,10747821000.0,3314224000.0,2091259000.0,1682501000.0,12972110000.0,8862011200.0,20151620200.0,6209230.0,3245.4298198005226,2059.0,2022-02-22 15:15:00,1.5762165224868978
20,E03071,,,2022-02-14,8130,株式会社サンゲツ,卸売業,4896000000.0,87578000000.0,43480000000.0,19238000000.0,20952000000.0,48960000000.0,54640000000.0,82648000000.0,59900000.0,1379.7662771285475,1564.0,2022-02-22 11:35:01,0.88220350200035
